,NUM_BO,RUBRICA,ANO,MES,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE
245518,683,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,2,OSASCO                                  ,RUA GRACIELA FLORES DE PITERI           ,0,-23.51022319,-46.78557516
438216,3908,"Furto qualificado (art. 155, §4o.)",2016,11,S.PAULO                                 ,AVENIDA NAGIB FARAH MALUF               ,248,-23.55167655,-46.4366715
765801,5044,Roubo (art. 157),2016,5,S.PAULO                                 ,AVENIDA COMENDADOR SANTANNA             ,2000,-23.68254462,-46.76940667
251987,1128002,Roubo (art. 157),2016,9,S.PAULO                                 ,RUA ALTO BELO                           ,1100,-23.575183,-46.51037242
214335,6245,Furto (art. 155),2016,6,S.PAULO                                 ,RUA VINTE E CINCO DE MARCO              ,300,-23.54704848,-46.63132791
441024,4695,Roubo (art. 157),2016,12,S.PAULO                                 ,ESTRADA DO PORTO                        ,30,-23.787442600000002,-46.68141686
484412,603,Roubo (art. 157),2016,1,S.PAULO                                 ,RUA SILVA PINTO                         ,200,-23.52911748,-46.64026715
67637,231,Lesão corporal (art. 129),2016,2,GUARAREMA                               ,RUA JURANDIR                            ,74,-23.41670744,-46.03553053
572554,3051,Estupro de vulneravel (art.217-A),2016,3,S.PAULO                                 ,RUA VIEIRA PORTUENSE                    ,624,-23.64417534,-46.64708252
200650,1400901,Furto (art. 155),2016,11,S.PAULO                                 ,RUA DOUTOR RENATO PAES DE BARROS        ,534,-23.58324173,-46.67382852
431989,1340308,Furto (art. 155),2016,10,S.BERNARDO DO CAMPO                     ,PASSAGEM DOIS                           ,52,-23.73322408,-46.53246407
457593,4761,Estupro de vulneravel (art.217-A),2016,12,ITAPECERICA DA SERRA                    ,RUA BUENOS AÍRES                        ,56,-23.708045499999997,-46.86069829
10219,691233,Furto (art. 155),2016,5,S.PAULO                                 ,RUA QUINZE DE NOVEMBRO                  ,65,-23.54900078,-46.63381827
216687,3548,Roubo (art. 157),2016,10,S.PAULO                                 ,RUA MARIA JOVITA DA CONCEICAO           ,30,-23.48922411,-46.47885583
320252,1139138,Roubo (art. 157),2016,9,S.PAULO                                 ,PARQUE DOMINGOS LUIS                    ,20,-23.49301194,-46.61653213
370756,8773,Furto (art. 155),2016,9,S.PAULO                                 ,ALAMEDA DOS AICAS                       ,1137,-23.61252556,-46.66152984
598982,221,Furto (art. 155),2016,1,S.PAULO                                 ,AVENIDA SAO JOAO                        ,1200,-23.539227399999998,-46.64582529
665920,808804,Furto (art. 155),2016,6,S.PAULO                                 ,RUA SENADOR CESAR LACERDA VERGUEIRO     ,461,-23.54643684,-46.69324832
413679,42694,Roubo (art. 157),2016,1,S.PAULO                                 ,RUA CAMPINAS DO SUL                     ,0,-23.55283548,-46.46857868
729823,484,Furto (art. 155),2016,2,S.PAULO                                 ,ESTRADA DO LAGEADO VELHO                ,64,-23.53913628,-46.40801727
371257,1887,Roubo (art. 157),2016,8,S.PAULO                                 ,RUA COLONIAL DO IRAI                    ,313,-23.45490044,-46.71767127
467375,273453,Roubo (art. 157),2016,2,S.PAULO                                 ,RUA JOSE BONIFACIO                      ,298,-23.54896558,-46.63720768
580473,67225,Roubo (art. 157),2016,1,TABOAO DA SERRA                         ,RUA ANGELINA                            ,50,-23.62598174,-46.78953538
505507,6257,Lesão corporal (art. 129),2016,11,TABOAO DA SERRA                         ,RUA JOSÉ COPAZI                         ,30,-23.61823895,-46.76394014
86237,2703,"Furto qualificado (art. 155, §4o.)",2016,3,S.PAULO                                 ,RUA PATIZAL                             ,67,-23.55526146,-46.6883266
621686,1156,Furto (art. 155),2016,5,BARUERI                                 ,AVENIDA TAMBORÉ                         ,1433,-23.49472765,-46.8416615
17323,13,"Drogas sem autorização ou em desacordo (Art.33, caput)",2016,2,S.PAULO                                 ,RUA ALMIRANTE MARIATH                   ,247,-23.60359718,-46.59619617
645808,171,Roubo (art. 157),2016,1,S.BERNARDO DO CAMPO                     ,AVENIDA DOUTOR RUDGE RAMOS              ,1000,-23.64853041,-46.57866791
